Id,Year,Paper,Subject,Topics,Tags,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
CDS-2013-II-GK-001,2013,GK,Geography,Physical and Indian Geography,Geography | Physical Geography | Indian Geography | Geomorphology,easy,Statements: I. Typical laterite soils in India are generally fertile. II. Laterite soils generally experience leaching.,Both the statements are individually true andStatement II is the correct explanation of Statement I.,Both the statements are individually true butStatement II is not the correct explanation ofStatement I.,Statement I is true but Statement II is false.,Statement I is false but Statement II is true.,D,"Solution: Statement I is false but statement II is true. Laterite soils are poor inorganic matter, nitrogen, phosphate and calcium, while iron oxide and potash are in excess. Hence, the soils are not suitable for cultivation. They develop by intensive and long-lasting weathering of the underlying parent rock. Laterite soils are formed in India in the areas which experience high temperature and heavy rainfall. Thus, these are formed by the process of leaching. © examsnet.com"
CDS-2013-II-GK-002,2013,GK,Geography,Physical and Indian Geography,Geography | Physical Geography | Indian Geography | Geomorphology,easy,Statements: I. Southern part of France is famous for the wine making industry. II. Southern part of France produces a variety of fruits due to Mediterranean climate.,Both the statements are individually true andStatement II is the correct explanation of Statement I.,Both the statements are individually true butStatement II is not the correct explanation ofStatement I.,Statement I is true but Statement II is false.,Statement I is false but Statement II is true.,A,Solution: Both the statements are individually true and statements II is the correct explanation of statement I. Mediterranean climate is found between the 30 degree-45 degree N-S latitudes. Wine making are concentrated principally in Langue doc-Roussillon and in the Bordeaux area (Southern France).Fruit production is largelyconcentrated in the Rhone and Garonne valleys and in theMediterranean region. Warm temperature ensures a fairly longgrowing season. © examsnet.com
CDS-2013-II-GK-003,2013,GK,Science & Tech,General Science & Emerging Technologies,Science & Tech | General Science | Applied Science | Physics | Chemistry | Biology,medium,"I. Kali age reflects the presence of deep social crisis characterised by varnasankara, i.e., intermixture of varnas or social orders. II. The vaisyas and sudras (peasants, artisans andlabourers) either refused to perform producing functions or pay taxes or supply necessary labour for economic production resulting in weakening of Brahminical social order and social tension.",Both the statements are individually true andStatement II is the correct explanation of Statement I.,Both the statements are individually true butStatement II is not the correct explanation ofStatement I.,Statement I is true but Statement II is false.,Statement I is false but Statement II is true.,A,"Solution: Both the statements are individually true and statements II is the correct explanation of statement I. The Kali means the neglect of rituals, and the predominance and influence of heretical sects and also of foreign and non-brahmanical rulers.That is to say, in the Kali Age the Vaishyas and Sudras not only flouted the rules of marriage but also refused to abide by the injunctions of Dharmasastra. It connotes the nonperformance & influence of the functions assigned to different social strata or varnas by the Dharmashastra. It is characterised by insecurity and widespread lawlessness. It appears as a period of anarchy caused by the destruction of yogaksema (welfare). Both the statements are individually true and statements IIis the correct explanation of statement I. The Kali means theneglect of rituals, and the predominance and influence of heretical sects and also of foreign  and non-brahmanical rulers.That isto say, in the Kali Age the Vaishyas and Sudras not only flouted therules of marriage but also refused to abide by the injunctions ofDharmasastra. It connotes the nonperformance & influence of thefunctions assigned to different social strata or varnas by the Dharmashastra. It is characterised by insecurity and widespreadlawlessness. It appears as a period of anarchy caused by thedestruction of yogaksema (welfare). © examsnet.com"
CDS-2013-II-GK-004,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,medium,Statements: I. The social institutions of caste in India underwent major changes in the colonial period. II. Caste in contemporary society is more a product of ancient Indian tradition than of colonialism.,Both the statements are individually true andStatement II is the correct explanation of Statement I.,Both the statements are individually true butStatement II is not the correct explanation ofStatement I.,Statement I is true but Statement II is false.,Statement I is false but Statement II is true.,C,"Solution: Statement I is true but statement II is false. Scholars have agreed that all major social institutions and specially the institution of caste underwent major changes during the colonial period. In fact, some scholars argue that what we know today as caste is more a product of colonialism than of ancient Indian tradition. The present form of caste as a social institution has been shaped very strongly by both the colonial period as well as the rapid changes that have come about in independent India. © examsnet.com"
CDS-2013-II-GK-005,2013,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,medium,Statements: I. The Russian Revolution of 1917 inspired the Indian Working Class Movement. II. The Non-Cooperation Movement (1921–22) saw the involvement of the Indian Working Class.,Both the statements are individually true andStatement II is the correct explanation of Statement I.,Both the statements are individually true butStatement II is not the correct explanation ofStatement I.,Statement I is true but Statement II is false.,Statement I is false but Statement II is true.,B,"Solution: Both the statements are individually true and statements II is not the correct explanation of statement I. The October Revolution (1917) in Russia acted as a source of great encouragement to the Indian working class movement. On October 30, 1920, representatives of 64 trade unions with 1.5 lakh members met in Bombay to form All Indian Trade Union Congress under the leadership of Lala Lajpat Rai and other national leaders. In 1921 alone, about 400 strikes were conducted, more than half successfully © examsnet.com"
CDS-2013-II-GK-006,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,medium,"Statements: I. In India, tribal movements of nineteenth century resulted out of the process of land displacements and the introduction of forest laws. II. The Indian national movement resolved the problems faced by the tribals.",Both the statements are individually true andStatement II is the correct explanation of Statement I.,Both the statements are individually true butStatement II is not the correct explanation ofStatement I.,Statement I is true but Statement II is false.,Statement I is false but Statement II is true.,C,"Solution: Statement I is true but statement II is false. Tribal movements were basically directed to preserve the tribal identity which was thought to be in danger due to intrusion of external people affecting the social, political and economical position of the tribes. The Indian national movement did not resolve the problems faced by the tribals. © examsnet.com"
CDS-2013-II-GK-007,2013,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,medium,Statements: I. The economy of India in the 19th century came to a state of ruin under English East India Company. II. English East India Company’s acquisition of Diwani right led to the miseries of the peasants and those associated with the traditional handicrafts industry of India.,Both the statements are individually true andStatement II is the correct explanation of Statement I.,Both the statements are individually true butStatement II is not the correct explanation ofStatement I.,Statement I is true but Statement II is false.,Statement I is false but Statement II is true.,A,"Solution: Both the statements are individually true and statements II is the correct explanation of statement I. Shah Alam II, based on the Treaty of Allahabad signed in August 16, 1765, granted Diwani rights or right to administer the territory and collect taxes to the British East India Company. Once they got the diwani rights, the Company stopped receiving money from England to buy merchandise in India. The revenue received from Bengal was used for this purpose,and the money earned by selling these goods went back to England.All these deteriorated the condition of peasants and handicraft industry as the latter lost patronage – as the rulers had all responsibilities but no financial rights. © examsnet.com"
CDS-2013-II-GK-008,2013,GK,Geography,Physical and Indian Geography,Geography | Physical Geography | Indian Geography | Geomorphology,easy,"In soil, water that is readily available to plant roots is:",gravitational water,capillary water,hygroscopic water,bound water,B,"Solution: In soil, water that is readily available to plant roots is capillary water.Capillary water is held in the capillary pores (micro pores). It is retained on the soil particles by surface forces. It is held so strongly that gravity cannot remove it from the soil particles. Gravitational water refers to free water that moves through the soil due to the force of gravity. It moves rapidly out of well drained soil and is not considered to be available to plants. In hydrology, bound water is an extremely thin layer of water surrounding mineral surfaces .Hygroscopic water refers to water absorbed from the atmosphere and held very tightly by the soil particles, so that it is unavailable to plants amounts sufficient for them to survive. © examsnet.com"
CDS-2013-II-GK-009,2013,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,Blood does not coagulate inside the body due to the presence of:,Haemoglobin,Heparin,Fibrin,Plasma,B,Solution: Blood does not coagulate inside the body due to the presence ofHeparin. Heparin is a naturally occurring anticoagulant releasedfrom mast cells that prevents blood from clotting inside vessels. Blood clots are clumps that occur when blood hardens from liquid to solid. A blood clot that forms inside our veins or arteries is called a thrombus. © examsnet.com
CDS-2013-II-GK-010,2013,GK,Geography,Physical and Indian Geography,Geography | Physical Geography | Indian Geography | Geomorphology,easy,Which one among the following is responsible for the formation of ‘Ozone Holes’ in the stratosphere?,Benzopyrene,Hydrocarbons,Chlorofluorocarbons,UV radiation,C,"Solution: Among the given items,Chlorofluorocarbons (CFCs) is responsible for formation of ‘Ozone Holes’ in the stratosphere. Ultraviolet radiation in the stratosphere causes the CFCs molecules to dissociate, producing chlorine atoms and radicals (i.e., chlorodifluoromethyl radical; free radicals are species that containone or more unpaired electrons). C C l 2 F 2 → sunlight C l + C C l F 2 \mathrm{CCl_2F_2} \xrightarrow{\text{sunlight}} \mathrm{Cl} + \mathrm{CClF_2} CC l 2 ​ F 2 ​ sunlight ​ Cl + CCl F 2 ​ dichlorodifluoromethane Chlorine atom  Chlorodifluoromethyl radical The chlorine atoms then react with ozone, initiating a process whereby a single chlorine atom can cause the conversion of thousands of ozone molecules to oxygen. C l + O 3 → C l O + O 2 \mathrm{Cl} + \mathrm{O_3} \rightarrow \mathrm{ClO} + \mathrm{O_2} Cl + O 3 ​ → ClO + O 2 ​ Chlorine atom ozone     Chlorine monoxide oxygen 'Ozone Hole’ is seasonal thinning of the ozone layer of the earth's atmosphere above Antarctica, so allowing abnormal amounts of ultraviolet light to reach the earth's surface. © examsnet.com"
