Id,Year,Paper,Subject,Topics,Tags,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
CDS-2024-I-GK-001,2024,GK,Geography,Physical and Indian Geography,Geography | Physical Geography | Indian Geography | Geomorphology,hard,"Consider the following statements about the Jorwe culture of the Deccan: 1. It covers, practically, the whole of modern Maharashtra except the coastal Konkan district. 2. The Pravara-Godavari valleys seem to have been the nuclear zone. 3. The large sites of this culture yield evidence of shifting agriculture. Which of the statements given above is/are correct?",1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",B,"Solution: Concept: The Jorwe culture is a prominent Chalcolithic culture of the Deccan, and its characteristics must be assessed based on its geographical spread and archaeological evidence of its economic practices. Explanation: The first statement is geographically accurate. Archaeological surveys confirm that the Jorwe culture extensively covered the interior regions of modern Maharashtra. Its influence clearly excluded the coastal Konkan district, making this statement correct. The second statement is correct based on settlement patterns. The Pravara-Godavari river valleys contain a high density of early Jorwe sites. This concentration indicates that this region was the primary nuclear zone for the development and spread of this culture. The third statement is incorrect. Large Jorwe culture sites, such as Daimabad, provide evidence of permanent structures and well-planned settlements. These sites show signs of advanced agriculture involving irrigation and crop rotation, not shifting agriculture. Shifting agriculture is typically associated with temporary, less complex settlements, which does not match the Jorwe culture's established agrarian economy. Therefore, this statement is not supported by the archaeological record. Answer: Statements 1 1 1 and 2 2 2 are correct only. Therefore, option B (1 and 2 only) is the correct answer. © examsnet.com"
CDS-2024-I-GK-002,2024,GK,Polity,Indian Constitution & Governance,Polity | Constitution of India | Governance | Constitutional Bodies,medium,Consider the following statements regarding weightage of different articles in Wholesale Price Index (WPI): 1. Fuel and power have higher weightage in WPI than that of primary articles. 2. Weightage of manufactured products in WPI is higher than that of fuel and power. Which of the statements given above is/are correct?,1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Solution: Concept: The Wholesale Price Index (WPI) gives different weightages to three main groups: Primary Articles, Fuel and Power, and Manufactured Products. These weightages decide which group has higher importance. Explanation: Statement 1: Fuel and power have higher weightage in WPI than that of primary articles. The weightage of Primary Articles is approximately 22.62 % 22.62\% 22.62% . The weightage of Fuel and Power is approximately 13.15 % 13.15\% 13.15% . Since 13.15 % 13.15\% 13.15% is less than 22.62 % 22.62\% 22.62% , statement 1 is false. Statement 2: Weightage of manufactured products in WPI is higher than that of fuel and power. The weightage of Manufactured Products is approximately 64.23 % 64.23\% 64.23% . The weightage of Fuel and Power is 13.15 % 13.15\% 13.15% . Since 64.23 % 64.23\% 64.23% is greater than 13.15 % 13.15\% 13.15% , statement 2 is true. Therefore, only statement 2 is correct. Answer: 2 only. © examsnet.com"
CDS-2024-I-GK-003,2024,GK,Current Affairs,Current Events of National & International Importance,Current Affairs | International Relations | Government Schemes | Awards,hard,"Which of the following were objectives of the G20 Summit, 2023 under India's Presidency? 1. Green development 2. Accelerating progress on SDGs 3. Women-led development Select the correct answer using the code given below.",1 and 2 only,2 and 3 only,"1, 2 and 3",1 and 3 only,C,"Solution: Concept: The G20 Summit 2023 under India’s Presidency focused on inclusive, sustainable, and people-centric development. Explanation: Green development was a key objective—it promoted renewable energy, reduced carbon emissions, and sustainable practices to combat climate change. Accelerating progress on the Sustainable Development Goals (SDGs) was another core aim—to end poverty, protect the planet, and ensure prosperity by 2030 through enhanced international cooperation. Women-led development was also prioritised—it emphasised gender equality, empowering women as leaders and drivers of economic growth, aligning with SDG 5. All three objectives—green development, accelerating SDGs, and women-led development—were formally part of India’s G20 agenda in 2023. Answer: Statements 1, 2, and 3 are correct. Hence, the correct code is C (1, 2 and 3). © examsnet.com"
CDS-2024-I-GK-004,2024,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,hard,Consider the following statements about Rana Kumbha of Mewar: 1. He wrote a commentary on Jayadeva's Gitagovinda. 2. He wrote four dramas in which he is said to have made use of four provincial languages. 3. He erected Kirtistambha in Chitor in commemoration of his victory over Gujarat. ​Which of the statements given above is/are correct?,"1, 2 and 3",2 and 3 only,1 and 2 only,3 only,A,"Solution: Concept: Rana Kumbha of Mewar was not only a military leader but also a scholar and patron of arts. His achievements include literary works and architectural monuments. Explanation: Statement 1 is correct. Rana Kumbha wrote a commentary on Jayadeva's G i t a g o v i n d a Gitagovinda G i t a g o v in d a , a famous Sanskrit poem. This shows his deep interest in scholarship. Statement 2 is correct. He composed four dramas, each using a different provincial language. This highlights his linguistic skills and support for regional literature. Statement 3 is correct. He built the K i r t i s t a m b h a Kirtistambha K i r t i s t ambha (Tower of Fame) in Chittorgarh Fort to celebrate his victory over Gujarat. It is a lasting symbol of his military success. Answer: Statements 1, 2, and 3 are correct. So the correct option is A. 1, 2 and 3. © examsnet.com"
CDS-2024-I-GK-005,2024,GK,Geography,Physical and Indian Geography,Geography | Physical Geography | Indian Geography | Geomorphology,hard,"Consider the following statements about Madurai, the capital city of the Pandya kingdom: 1. It has been described in Maduraikkanchi as a large grand city, enclosed by walls on three sides and the Vaigai river on the fourth side. 2. The Arthashastra mentions it as a centre of fine cotton textiles. 3. Other literary sources describe it as a major craft centre. Which of the statements given above is/are correct?",1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",A,"Solution: Concept: The accuracy of historical statements about Madurai depends on direct evidence from ancient texts like Maduraikkanchi and Arthashastra. Explanation: Statement 1 is correct because Maduraikkanchi explicitly describes Madurai as a large grand city surrounded by walls on three sides and the Vaigai river on the fourth side. This matches the archaeological and literary understanding of the city’s fortified layout. Statement 2 is incorrect because the Arthashastra does not directly mention Madurai as a centre of fine cotton textiles. While Madurai had a rich textile tradition, this claim is an inference, not a textual fact. Statement 3 is incorrect because the phrase “other literary sources” is too vague. Although Madurai was a craft hub, no specific ancient source confirms it as a major craft centre in that context. Thus, only statement 1 is historically verified. Answer: A. 1 only © examsnet.com"
CDS-2024-I-GK-006,2024,GK,Modern History,Indian National Movement,Modern History | Freedom Struggle | British Colonial Rule,hard,"If India enters into Free Trade Agreements (FTAs) with other nations, then the growth of exports of India would depend upon which of the following? 1. Extent of tariff reduction vis-à-vis MFN tariffs 2. Extent of relaxation in terms of rules of origin 3. Extent of relaxation in sanitary and phytosanitary measures 4. Level of infrastructure in India 5. Income in nations with which India enters into FTAs Select the correct answer using the code given below.","1, 3 and 4 only","1, 2 and 4 only","2, 3 and 5 only","1, 2, 3, 4 and 5",A,"Solution: Concept: Free Trade Agreements (FTAs) aim to boost exports by reducing trade barriers, but success depends on multiple factors like tariffs, regulations, and infrastructure. Explanation: Export growth under FTAs depends directly on the extent of tariff reduction compared to MFN tariffs – lower tariffs make Indian goods cheaper and more competitive. (Statement 1 is correct.) Relaxation in rules of origin can help more products qualify for FTA benefits, but it is not a primary determinant of export growth. (Statement 2 is not considered correct here.) Relaxation in sanitary and phytosanitary measures reduces barriers for agricultural and food exports, thus boosting trade. (Statement 3 is correct.) The level of infrastructure in India—efficient ports, roads, and logistics—lowers export costs and time, enhancing competitiveness. (Statement 4 is correct.) Income levels in FTA partner nations affect demand, but this is an external market condition, not a direct factor under the FTA terms. (Statement 5 is not considered correct here.) Therefore, the factors that directly influence export growth under FTAs are tariff reduction, SPS relaxation, and infrastructure. Answer: A. 1, 3 and 4 only © examsnet.com"
CDS-2024-I-GK-007,2024,GK,Science & Tech,General Science & Emerging Technologies,Science & Tech | General Science | Applied Science | Physics | Chemistry | Biology,easy,The causal organism of dengue fever is a mosquito-borne virus which belongs to which one among the following categories?,Flavi-ribo virus,Adenovirus,Vaccinia virus,Nipah virus,A,"Solution: Concept: Dengue fever is caused by a mosquito-borne virus from the Flavivirus genus, which belongs to the category of riboviruses (RNA viruses). Explanation: The dengue virus is an RNA virus of the genus Flavivirus (family Flaviviridae). It is transmitted by Aedes mosquitoes, mainly Aedes aegypti . The term “flavi” means yellow, referencing jaundice in yellow fever, another flavivirus. Among the options, “Flavi-ribo virus” correctly indicates a flavivirus (ribo = RNA virus). Adenovirus is a DNA virus and not related to dengue. Vaccinia virus is a poxvirus used in the smallpox vaccine. Nipah virus is a zoonotic RNA virus of the Paramyxoviridae family, not Flaviviridae. Thus, only option A correctly names the category of the dengue virus. Answer: A. Flavi-ribo virus © examsnet.com"
CDS-2024-I-GK-008,2024,GK,Medieval History,Medieval Indian History,Medieval History | Delhi Sultanate | Mughal Empire | Administration,easy,Who among the following Chola kings encouraged the the Sailendra ruler of Sri Vijaya to build a Buddhist Vihara in Negapatnam?,Parantaka I,Rajaraja I,Rajendra I,Kulottunga I,B,"Solution: Concept: The Chola king who supported the Sailendra ruler of Sri Vijaya in building a Buddhist monastery at Nagapattinam was Rajaraja I. Explanation: During the reign of Rajaraja I (985–1014 CE), the Sailendra king Sri Mara Vijayottungavarman of Sri Vijaya sought permission to construct a Buddhist Vihara at Nagapattinam (then called Negapatnam). Rajaraja I granted this request as a strategic diplomatic move to maintain friendly relations with the powerful maritime kingdom of Sri Vijaya. This vihara, known as the Sailendra Vihara, became an important centre for Buddhist learning under Chola patronage. The other options are incorrect: • Parantaka I is known for his military campaigns and administrative reforms, but he had no recorded connection with building a Buddhist vihara at Nagapattinam. • Rajendra I, though famous for his naval expedition that conquered parts of Sri Vijaya, did not commission such a vihara. • Kulottunga I is remembered for his governance and temple-building activities, not for this specific monastery. Thus, Rajaraja I's patronage of the Sailendra ruler demonstrates his shrewd diplomatic strategy in Southeast Asian affairs. Answer: Rajaraja I © examsnet.com"
CDS-2024-I-GK-009,2024,GK,Science & Tech,General Science & Emerging Technologies,Science & Tech | General Science | Applied Science | Physics | Chemistry | Biology,medium,"Consider the following statements about Sawai Jai Singh's astronomical work: 1. He learnt of the accuracy of European observations, and obtained de La Hire's tables from which he reproduced a refraction table. 2. His astronomers also developed a telescope of their own to observe the lunar phases of Venus. Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Solution: Concept: Sawai Jai Singh integrated European astronomical data but historical records do not confirm indigenous telescope development for Venus’s lunar phases. Explanation: Sawai Jai Singh, a keen astronomer and king of Amber, actively sought European astronomical knowledge. He obtained Philippe de La Hire’s tables, which were advanced European planetary tables. Using these tables, he reproduced a refraction table to improve observational accuracy in India. Thus, statement 1 is correct. However, there is no historical evidence that his astronomers built a telescope specifically to observe the lunar phases of Venus. Sawai Jai Singh’s main contributions were large stone instruments like the Samrat Yantra (giant sundial) and the Jantar Mantar observatories. The apparatus for lunar phase observation of Venus required a telescope, but no records indicate such a device was developed by his team. Therefore, statement 2 is incorrect. Answer: A. 1 only © examsnet.com"
CDS-2024-I-GK-010,2024,GK,General Knowledge,General Knowledge,General Knowledge | UPSC CDS | Prelims,easy,Which one of the following is an amphoteric oxide?,MgO,P4O10,Na2O,Al2O3,D,"Solution: Concept: Amphoteric oxides can react with both acids and bases to form salt and water. Explanation: An amphoteric oxide behaves as both an acid and a base. A l 2 O 3 Al_2O_3 A l 2 ​ O 3 ​ (aluminium oxide) is a classic amphoteric oxide. It reacts with hydrochloric acid: A l 2 O 3 + 6 H C l → 2 A l C l 3 + 3 H 2 O Al_2O_3 + 6HCl \rightarrow 2AlCl_3 + 3H_2O A l 2 ​ O 3 ​ + 6 H Cl → 2 A lC l 3 ​ + 3 H 2 ​ O . It also reacts with sodium hydroxide: A l 2 O 3 + 2 N a O H + 3 H 2 O → 2 N a A l ( O H ) 4 Al_2O_3 + 2NaOH + 3H_2O \rightarrow 2NaAl(OH)_4 A l 2 ​ O 3 ​ + 2 N a O H + 3 H 2 ​ O → 2 N a A l ( O H ) 4 ​ (or 2 N a A l O 2 + 3 H 2 O 2NaAlO_2 + 3H_2O 2 N a A l O 2 ​ + 3 H 2 ​ O when heated). By contrast, M g O MgO M g O and N a 2 O Na_2O N a 2 ​ O are basic oxides — they only react with acids. P 4 O 10 P_4O_{10} P 4 ​ O 10 ​ is an acidic oxide — it reacts only with bases. Therefore, among the given options, only A l 2 O 3 Al_2O_3 A l 2 ​ O 3 ​ shows amphoteric behavior. Answer: D. A l 2 O 3 Al_2O_3 A l 2 ​ O 3 ​ © examsnet.com"
